feature,target,pearson_r,n
company_neg_per_1000,ar10d,-0.385625378347113,14
company_sent_ratio_mean,ar10d,0.5228674328008943,14
company_unc_per_1000,ar10d,0.6641287324892288,14
external_neg_per_1000,ar10d,-0.21420918291298133,14
external_unc_per_1000,ar10d,-0.5545017977492334,14
finbert_neg_mean,ar10d,-0.03175163004602849,14
finbert_neu_mean,ar10d,-0.30897018541822924,14
finbert_pos_mean,ar10d,0.44806619672478504,14
neg_per_1000,ar10d,-0.3393205870958429,14
unc_per_1000,ar10d,0.6764370119209329,14
company_neg_per_1000,ar1d,-0.14684474654764618,14
company_sent_ratio_mean,ar1d,0.4866030441535461,14
company_unc_per_1000,ar1d,0.4779135914400949,14
external_neg_per_1000,ar1d,-0.15113332005124508,14
external_unc_per_1000,ar1d,-0.4648213975325146,14
finbert_neg_mean,ar1d,0.0888545612043611,14
finbert_neu_mean,ar1d,-0.5194756823648484,14
finbert_pos_mean,ar1d,0.6180791831546785,14
neg_per_1000,ar1d,-0.11563781752272503,14
unc_per_1000,ar1d,0.5368025112810866,14
company_neg_per_1000,ar20d,-0.5516484807083936,13
company_sent_ratio_mean,ar20d,0.4494803169315889,13
company_unc_per_1000,ar20d,0.6797135445416583,13
external_neg_per_1000,ar20d,-0.49693624991554053,13
external_unc_per_1000,ar20d,-0.5676917250653818,13
finbert_neg_mean,ar20d,-0.28916137501656447,13
finbert_neu_mean,ar20d,-0.10768443408943316,13
finbert_pos_mean,ar20d,0.43437291799451894,13
neg_per_1000,ar20d,-0.5660712349368228,13
unc_per_1000,ar20d,0.6773550633989507,13
company_neg_per_1000,ar3d,-0.4447714925191352,14
company_sent_ratio_mean,ar3d,0.4463201690217233,14
company_unc_per_1000,ar3d,0.5683168254186726,14
external_neg_per_1000,ar3d,-0.32264089975554733,14
external_unc_per_1000,ar3d,-0.5269664867326695,14
finbert_neg_mean,ar3d,-0.01966626135006795,14
finbert_neu_mean,ar3d,-0.4244781943578108,14
finbert_pos_mean,ar3d,0.5927946619327503,14
neg_per_1000,ar3d,-0.42970723103330544,14
unc_per_1000,ar3d,0.6074998986891909,14
company_neg_per_1000,ar5d,-0.5401745549253263,14
company_sent_ratio_mean,ar5d,0.6647421120852756,14
company_unc_per_1000,ar5d,0.62063593258714,14
external_neg_per_1000,ar5d,-0.22841632366055928,14
external_unc_per_1000,ar5d,-0.6454562303469165,14
finbert_neg_mean,ar5d,0.000269400608413889,14
finbert_neu_mean,ar5d,-0.37649657407229054,14
finbert_pos_mean,ar5d,0.5089434648644999,14
neg_per_1000,ar5d,-0.4653348671415516,14
unc_per_1000,ar5d,0.6614048784466426,14
company_neg_per_1000,r10d,-0.28207257855123474,14
company_sent_ratio_mean,r10d,0.514737362458649,14
company_unc_per_1000,r10d,0.5895949267044078,14
external_neg_per_1000,r10d,-0.13022820384114067,14
external_unc_per_1000,r10d,-0.5632463530547676,14
finbert_neg_mean,r10d,0.09627322945445886,14
finbert_neu_mean,r10d,-0.4575199635913071,14
finbert_pos_mean,r10d,0.5272313670935329,14
neg_per_1000,r10d,-0.22837367296088185,14
unc_per_1000,r10d,0.5990242450872091,14
company_neg_per_1000,r1d,-0.30136096687246494,14
company_sent_ratio_mean,r1d,0.5290078834933666,14
company_unc_per_1000,r1d,0.5103654755393594,14
external_neg_per_1000,r1d,-0.39636323981619315,14
external_unc_per_1000,r1d,-0.3404340567687491,14
finbert_neg_mean,r1d,0.1769171681905416,14
finbert_neu_mean,r1d,-0.45748234441575875,14
finbert_pos_mean,r1d,0.45049305568128484,14
neg_per_1000,r1d,-0.29930755006773896,14
unc_per_1000,r1d,0.5543837620002161,14
company_neg_per_1000,r20d,-0.5161374332827307,13
company_sent_ratio_mean,r20d,0.27897588408272866,13
company_unc_per_1000,r20d,0.48730165483579735,13
external_neg_per_1000,r20d,-0.35585601795005856,13
external_unc_per_1000,r20d,-0.5082734539984185,13
finbert_neg_mean,r20d,-0.3405715874780846,13
finbert_neu_mean,r20d,-0.034793150321377975,13
finbert_pos_mean,r20d,0.3831476495418586,13
neg_per_1000,r20d,-0.5240664902773126,13
unc_per_1000,r20d,0.4868630617635438,13
company_neg_per_1000,r3d,-0.47069624955712386,14
company_sent_ratio_mean,r3d,0.4168506570998658,14
company_unc_per_1000,r3d,0.5374633860396159,14
external_neg_per_1000,r3d,-0.46675793263042314,14
external_unc_per_1000,r3d,-0.37329221723398576,14
finbert_neg_mean,r3d,0.08736338118881264,14
finbert_neu_mean,r3d,-0.46089227581025,14
finbert_pos_mean,r3d,0.5402649489346774,14
neg_per_1000,r3d,-0.48566564820091945,14
unc_per_1000,r3d,0.587719757850849,14
company_neg_per_1000,r5d,-0.4727620037406141,14
company_sent_ratio_mean,r5d,0.6316879335487622,14
company_unc_per_1000,r5d,0.5252704490817559,14
external_neg_per_1000,r5d,-0.15227045479080148,14
external_unc_per_1000,r5d,-0.5637958803973155,14
finbert_neg_mean,r5d,0.04936838432229837,14
finbert_neu_mean,r5d,-0.34436885873919315,14
finbert_pos_mean,r5d,0.4188016465466591,14
neg_per_1000,r5d,-0.388978116363972,14
unc_per_1000,r5d,0.5668283156892768,14
company_neg_per_1000,vol20d,0.2231178756655065,13
company_sent_ratio_mean,vol20d,-0.42767234324443276,13
company_unc_per_1000,vol20d,-0.2748147275618833,13
external_neg_per_1000,vol20d,0.06196844703489164,13
external_unc_per_1000,vol20d,0.14127929233387135,13
finbert_neg_mean,vol20d,-0.2672356377813967,13
finbert_neu_mean,vol20d,0.12010273494132043,13
finbert_pos_mean,vol20d,0.09491653982332514,13
neg_per_1000,vol20d,0.15344702426956564,13
unc_per_1000,vol20d,-0.25695578923711443,13
company_neg_per_1000,vol5d,0.3187630750173071,14
company_sent_ratio_mean,vol5d,-0.36499510677490243,14
company_unc_per_1000,vol5d,-0.040609305443374925,14
external_neg_per_1000,vol5d,0.10299854651821025,14
external_unc_per_1000,vol5d,0.14440990750124535,14
finbert_neg_mean,vol5d,-0.47328424418879067,14
finbert_neu_mean,vol5d,0.5419956688085863,14
finbert_pos_mean,vol5d,-0.28296783935770087,14
neg_per_1000,vol5d,0.2642705971863142,14
unc_per_1000,vol5d,-0.09693885451316181,14
